Geo Point;Geo Shape;OBJECTID_1;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.87979369411629, 2.355791907531139;"{""coordinates"": [2.355791907531139, 48.87979369411629], ""type"": ""Point""}";555;318;Gare du Nord;;;71410;Gare du Nord;462941;Gare du Nord;A01537;C01374;METRO 4;4;METRO;0;0;0;0;0;RATP;1;1;652753.6063;6864612.0676;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Gare du Nord
48.89218707644951, 2.237018056395014;"{""coordinates"": [2.237018056395014, 48.89218707644951], ""type"": ""Point""}";564;414;La Défense;Grande Arche;;71517;La Défense (Grande Arche);470548;La Défense (Grande Arche);A01534;C01371;METRO 1;1;METRO;0;0;METRO 1;0;0;RATP;1;1;644056.2663;6866067.7406;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;La Défense
48.847579367477074, 2.3955545121706874;"{""coordinates"": [2.395554512170687, 48.847579367477074], ""type"": ""Point""}";565;583;Nation;;;71673;Nation;462358;Nation;A01534;C01371;METRO 1;1;METRO;0;0;0;0;0;RATP;1;0;655642.3274;6861007.0198;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;Nation
48.843486761806766, 2.3739225903167545;"{""coordinates"": [2.373922590316754, 48.843486761806766], ""type"": ""Point""}";554;317;Gare de Lyon;;;73626;Gare de Lyon;43153;Gare de Lyon;A01547;C01384;METRO 14;14;METRO;0;0;0;0;0;RATP;1;1;654051.2776;6860564.3306;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Gare de Lyon
48.87571908982334, 2.324224580938853;"{""coordinates"": [2.324224580938853, 48.87571908982334], ""type"": ""Point""}";562;1000;Saint-Lazare;;;71370;Gare Saint-Lazare;462374;Gare Saint-Lazare;A01547;C01384;METRO 14;14;METRO;0;0;0;0;0;RATP;1;1;650434.6278;6864178.3506;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Saint-Lazare
48.85394260621378, 2.2893345327788075;"{""coordinates"": [2.289334532778807, 48.85394260621378], ""type"": ""Point""}";601;75;Bir-Hakeim;Tour Eiffel;;473829;Bir-Hakeim;45340;Bir-Hakeim;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;647853.8595;6861779.4604;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Bir-Hakeim
48.84133824913213, 2.4009185367798027;"{""coordinates"": [2.400918536779803, 48.84133824913213], ""type"": ""Point""}";620;59;Bel-Air;;;73650;Bel-Air;45222;Bel-Air;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;656030.6976;6860310.0662;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Bel-Air
48.83904114371398, 2.389620014061439;"{""coordinates"": [2.389620014061439, 48.83904114371398], ""type"": ""Point""}";636;244;Dugommier;;;71606;Dugommier;42869;Dugommier;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;655199.4898;6860061.0017;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Dugommier
48.84038874809587, 2.3799112714543984;"{""coordinates"": [2.379911271454398, 48.84038874809587], ""type"": ""Point""}";967;67;Bercy;;;71607;Gare de Bercy;58728;Bercy;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;654488.0813;6860216.3939;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Bercy
48.84066322929957, 2.3263846107928465;"{""coordinates"": [2.326384610792847, 48.84066322929957], ""type"": ""Point""}";974;250;Edgar Quinet;;;71108;Edgar Quinet;45313;Edgar Quinet;A01539;C01376;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;650559.8002;6860279.0962;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Edgar Quinet
