source;target;ligne;weight
1250;1249;METRO 4;6
1249;1134;METRO 4;10
1134;706;METRO 4;6
706;10;METRO 4;5
10;573;METRO 4;3
573;236;METRO 4;2
236;723;METRO 4;6
723;879;METRO 4;3
879;564;METRO 4;3
564;779;METRO 4;3
779;781;METRO 4;5
781;605;METRO 4;6
605;776;METRO 4;2
776;767;METRO 4;7
767;188;METRO 4;10
188;168;METRO 4;5
168;460;METRO 4;3
460;273;METRO 4;3
273;726;METRO 4;3
726;836;METRO 4;3
836;159;METRO 4;3
159;313;METRO 4;3
313;318;METRO 4;4
318;50;METRO 4;6
50;162;METRO 4;3
162;511;METRO 4;5
511;802;METRO 4;3
802;690;METRO 4;3
414;269;METRO 1;10
269;669;METRO 1;8
669;463;METRO 1;9
463;1;METRO 1;8
1;25;METRO 1;5
25;152;METRO 1;4
152;329;METRO 1;4
329;293;METRO 1;6
293;144;METRO 1;4
144;199;METRO 1;7
199;864;METRO 1;5
864;618;METRO 1;5
618;481;METRO 1;3
481;166;METRO 1;3
166;352;METRO 1;4
352;777;METRO 1;7
777;54;METRO 1;6
54;962;METRO 1;7
962;734;METRO 1;8
734;583;METRO 1;7
583;702;METRO 1;9
702;772;METRO 1;7
772;65;METRO 1;7
65;160;METRO 1;8
1864;1863;METRO 14;22
1863;1862;METRO 14;14
1862;1861;METRO 14;19
1861;1855;METRO 14;20
1855;1860;METRO 14;18
1860;1859;METRO 14;14
1859;1006;METRO 14;8
1006;72;METRO 14;7
72;221;METRO 14;8
221;66;METRO 14;9
66;317;METRO 14;5
317;167;METRO 14;26
167;714;METRO 14;11
714;488;METRO 14;8
488;1000;METRO 14;5
1000;1226;METRO 14;16
1226;1227;METRO 14;6
1227;1228;METRO 14;12
1228;1229;METRO 14;13
1229;1865;METRO 14;9
626;862;METRO 6;6
862;75;METRO 6;10
75;84;METRO 6;14
84;389;METRO 6;5
389;245;METRO 6;23
245;154;METRO 6;27
154;421;METRO 6;29
421;123;METRO 6;3
123;800;METRO 6;5
800;629;METRO 6;4
629;565;METRO 6;6
565;250;METRO 6;4
250;724;METRO 6;3
724;237;METRO 6;5
237;768;METRO 6;3
768;331;METRO 6;5
331;212;METRO 6;5
212;653;METRO 6;4
653;587;METRO 6;5
587;183;METRO 6;4
183;717;METRO 6;4
717;67;METRO 6;6
67;244;METRO 6;7
244;585;METRO 6;10
585;233;METRO 6;8
233;59;METRO 6;4
59;641;METRO 6;4
171;505;METRO 13;6
505;504;METRO 13;8
504;700;METRO 13;7
700;656;METRO 13;7
656;636;METRO 13;4
636;299;METRO 13;5
299;563;METRO 13;4
563;247;METRO 13;6
247;765;METRO 13;5
765;873;METRO 13;6
873;362;METRO 13;3
362;145;METRO 13;8
145;548;METRO 13;6
548;770;METRO 13;8
770;467;METRO 13;4
467;648;METRO 13;4
648;416;METRO 13;3
416;113;METRO 13;5
113;342;METRO 13;5
342;689;METRO 13;10
